HGNC symbol	Description	Phenotype description
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Primary hypereosinophilic syndrome
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Unclassified chronic myeloproliferative disease
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	BASAL GANGLIA CALCIFICATION IDIOPATHIC 1
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	BASAL GANGLIA CALCIFICATION IDIOPATHIC 4
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Kosaki overgrowth syndrome
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	MYELOPROLIFERATIVE DISORDER CHRONIC WITH EOSINOPHILIA
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	MYOFIBROMATOSIS INFANTILE 1
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	PREMATURE AGING SYNDROME PENTTINEN TYPE
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Familial Infantile Myofibromatosis
PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	HEPATOCELLULAR CARCINOMA
PEAR1	platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:HGNC:33631]	
PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	Autosomal Recessive Mental Retardation
PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	
PHF1	PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]	
PHF21A	PHD finger protein 21A [Source:HGNC Symbol;Acc:HGNC:24156]	Potocki-Shaffer syndrome
PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	
PHKB	phosphorylase kinase regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:8927]	Glycogen storage disease due to liver and muscle phosphorylase kinase deficiency
PHKB	phosphorylase kinase regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:8927]	GLYCOGEN STORAGE DISEASE IXb
PIGP	phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046]	
PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	
PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome
PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1
PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	Spinocerebellar ataxia with axonal neuropathy type 2
PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	Ataxia-oculomotor apraxia 3
PKDREJ	polycystin (PKD) family receptor for egg jelly [Source:HGNC Symbol;Acc:HGNC:9015]	
PKN3	protein kinase N3 [Source:HGNC Symbol;Acc:HGNC:17999]	
PLA1A	phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]	
PLAA	phospholipase A2 activating protein [Source:HGNC Symbol;Acc:HGNC:9043]	
PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	Pleomorphic salivary gland adenoma
PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	SALIVARY GLAND ADENOMA PLEOMORPHIC
PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	
PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	
PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	
PLEKHA8	pleckstrin homology domain containing A8 [Source:HGNC Symbol;Acc:HGNC:30037]	
PLEKHB2	pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]	
PLEKHG4B	pleckstrin homology and RhoGEF domain containing G4B [Source:HGNC Symbol;Acc:HGNC:29399]	
PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3 [Source:HGNC Symbol;Acc:HGNC:26105]	
PLEKHM3	pleckstrin homology domain containing M3 [Source:HGNC Symbol;Acc:HGNC:34006]	
PLEKHN1	pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]	
PLIN4	perilipin 4 [Source:HGNC Symbol;Acc:HGNC:29393]	
PLIN5	perilipin 5 [Source:HGNC Symbol;Acc:HGNC:33196]	
PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	Seckel syndrome
PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	Microcephaly and chorioretinopathy autosomal recessive 2
PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	Microcephaly growth failure and retinopathy
PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	centriole replication
PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	positive regulation of centriole replication
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	Ehlers-Danlos syndrome kyphoscoliotic type
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	EHLERS-DANLOS SYNDROME TYPE VI
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	Ehlers-Danlos Syndrome Kyphoscoliotic Form
PLRG1	pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]	
PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	X-linked osteoporosis with fractures
PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 18
PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	Constitutional mismatch repair deficiency syndrome
PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	Lynch syndrome
PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	COLORECTAL CANCER HEREDITARY NONPOLYPOSIS TYPE 4
PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	MISMATCH REPAIR CANCER SYNDROME
PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY
PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	Neutral lipid storage myopathy
PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	NEUTRAL LIPID STORAGE DISEASE WITH MYOPATHY
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	Ataxia-hypogonadism-choroidal dystrophy syndrome
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	Autosomal recessive spastic paraplegia type 39
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	Cerebellar ataxia-hypogonadism syndrome
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	Laurence-Moon syndrome
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	Trichomegaly-retina pigmentary degeneration-dwarfism syndrome
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	Boucher Neuhauser syndrome
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	OLIVER-MCFARLANE SYNDROME
PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	SPASTIC PARAPLEGIA 39 AUTOSOMAL RECESSIVE
PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	
POC5	POC5 centriolar protein [Source:HGNC Symbol;Acc:HGNC:26658]	
POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	
POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	Hypomyelination-hypogonadotropic-hypogonadism-hypodontia syndrome
POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	Leukodystrophy hypomyelinating 7 with or without oligodontia and/or hypogonadotropic hypogonadism
POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	LEUKODYSTROPHY HYPOMYELINATING 8 WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM
POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	Autosomal Recessive Mental Retardation
PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	
PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	
PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]	
PPM1N	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative) [Source:HGNC Symbol;Acc:HGNC:26845]	
PPP1R12B	protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]	
PPP1R18	protein phosphatase 1 regulatory subunit 18 [Source:HGNC Symbol;Acc:HGNC:29413]	
PPP1R3D	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	
PPP1R3G	protein phosphatase 1 regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945]	
PPP4C	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	
PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28954]	
PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	
PRICKLE3	prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]	
PRICKLE4	prickle planar cell polarity protein 4 [Source:HGNC Symbol;Acc:HGNC:16805]	
PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	
PRKD2	protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]	
PRKX	protein kinase, X-linked [Source:HGNC Symbol;Acc:HGNC:9441]	
PRLHR	prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4464]	
PRMT6	protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]	
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	Hereditary thrombophilia due to congenital protein C deficiency
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY AUTOSOMAL DOMINANT
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY AUTOSOMAL RECESSIVE
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	canonical Wnt signaling pathway involved in negative regulation of apoptotic process
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	negative regulation of coagulation
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	negative regulation of inflammatory response
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	positive regulation of establishment of endothelial barrier
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	positive regulation of serine-type endopeptidase activity
PROSER2	proline and serine rich 2 [Source:HGNC Symbol;Acc:HGNC:23728]	
PRR19	proline rich 19 [Source:HGNC Symbol;Acc:HGNC:33728]	
PRUNE2	prune homolog 2 [Source:HGNC Symbol;Acc:HGNC:25209]	
PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	CHARCOT-MARIE-TOOTH DISEASE TYPE 4F
PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	Dejerine-Sottas syndrome
PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	CHARCOT-MARIE-TOOTH DISEASE DEMYELINATING TYPE 4F
PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS
PSMB2	proteasome subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	
PSPN	persephin [Source:HGNC Symbol;Acc:HGNC:9579]	
PTBP1	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]	
PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	
PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]	
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	Blomstrand lethal chondrodysplasia
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	EIKEN SYNDROME
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	Enchondromatosis
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	Metaphyseal chondrodysplasia Jansen type
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	primary failure of tooth eruption (PFE)
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	CHONDRODYSPLASIA BLOMSTRAND TYPE
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	Eiken skeletal dysplasia
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	Jansen metaphyseal chondrodysplasia (JMC)
PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	integral component of plasma membrane
PTOV1	prostate tumor overexpressed 1 [Source:HGNC Symbol;Acc:HGNC:9632]	
PUS3	pseudouridylate synthase 3 [Source:HGNC Symbol;Acc:HGNC:25461]	Mental retardation autosomal recessive 55
PWP1	PWP1 homolog, endonuclein [Source:HGNC Symbol;Acc:HGNC:17015]	
PXDC1	PX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21361]	
PYGO2	pygopus family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:30257]	
PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:HGNC Symbol;Acc:HGNC:26162]	
PZP	PZP, alpha-2-macroglobulin like [Source:HGNC Symbol;Acc:HGNC:9750]	
RAB24	RAB24, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9765]	
RAB3B	RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]	
RAB3IL1	RAB3A interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:9780]	
RAB40A	RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18283]	
RAD18	RAD18, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	
RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	
RAMP3	receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845]	negative regulation of transcription DNA-templated
RARS2	arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]	Pontocerebellar hypoplasia type 1
RARS2	arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]	PONTOCEREBELLAR HYPOPLASIA TYPE 6
RASA4	RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]	
RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	
RAX2	retina and anterior neural fold homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18286]	Cone-rod dystrophy
RAX2	retina and anterior neural fold homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18286]	CONE-ROD DYSTROPHY 11
RAX2	retina and anterior neural fold homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18286]	MACULAR DEGENERATION AGE-RELATED 6
RAX2	retina and anterior neural fold homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18286]	SPINAL MUSCULAR ATROPHY DISTAL AUTOSOMAL RECESSIVE 2 (1 family)
RBBP4	RB binding protein 4, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9887]	
RBBP9	RB binding protein 9, serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]	
RBM25	RNA binding motif protein 25 [Source:HGNC Symbol;Acc:HGNC:23244]	
RBM3	RNA binding motif (RNP1, RRM) protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]	
RBM45	RNA binding motif protein 45 [Source:HGNC Symbol;Acc:HGNC:24468]	
RBMX	RNA binding motif protein, X-linked [Source:HGNC Symbol;Acc:HGNC:9910]	MENTAL RETARDATION X-LINKED SYNDROMIC 11
RCAN3	RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]	
RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	
RCE1	Ras converting CAAX endopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:13721]	
RCN3	reticulocalbin 3 [Source:HGNC Symbol;Acc:HGNC:21145]	
RCOR3	REST corepressor 3 [Source:HGNC Symbol;Acc:HGNC:25594]	
RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	Ependymoma
REP15	RAB15 effector protein [Source:HGNC Symbol;Acc:HGNC:33748]	negative regulation of receptor recycling
REPS1	RALBP1 associated Eps domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15578]	
RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:9974]	
RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	
RFX2	regulatory factor X2 [Source:HGNC Symbol;Acc:HGNC:9983]	
RGL2	ral guanine nucleotide dissociation stimulator like 2 [Source:HGNC Symbol;Acc:HGNC:9769]	
RGL3	ral guanine nucleotide dissociation stimulator like 3 [Source:HGNC Symbol;Acc:HGNC:30282]	
RGS8	regulator of G-protein signaling 8 [Source:HGNC Symbol;Acc:HGNC:16810]	
RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	
RHBDF2	rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]	Palmoplantar keratoderma-esophageal carcinoma syndrome
RHBDF2	rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]	TYLOSIS WITH ESOPHAGEAL CANCER
RHBG	Rh family B glycoprotein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14572]	anchored component of plasma membrane
RHBG	Rh family B glycoprotein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14572]	spectrin-associated cytoskeleton
RINT1	RAD50 interactor 1 [Source:HGNC Symbol;Acc:HGNC:21876]	
RLF	rearranged L-myc fusion [Source:HGNC Symbol;Acc:HGNC:10025]	
RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]	Cystic leukoencephalopathy without megalencephaly
RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]	LEUKOENCEPHALOPATHY CYSTIC WITHOUT MEGALENCEPHALY
RNF150	ring finger protein 150 [Source:HGNC Symbol;Acc:HGNC:23138]	
RNF166	ring finger protein 166 [Source:HGNC Symbol;Acc:HGNC:28856]	
ROBO1	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]	
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	Leber congenital amaurosis
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	Retinitis pigmentosa
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	Severe early-childhood-onset retinal dystrophy
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	Leber congenital amaurosis 2
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	RETINITIS PIGMENTOSA 20
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	detection of light stimulus involved in visual perception
RPE65	RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]	retina homeostasis
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	
RSAD1	radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]	
RSPRY1	ring finger and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29420]	Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome
RSPRY1	ring finger and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29420]	Spondyloepimetaphyseal dysplasia Faden-Alkuraya type
RSPRY1	ring finger and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29420]	PROGRESSIVE SPONDYLOEPIMETAPHYSEAL DYSPLASIA
RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	
RTTN	rotatin [Source:HGNC Symbol;Acc:HGNC:18654]	Bilateral generalized polymicrogyria
RTTN	rotatin [Source:HGNC Symbol;Acc:HGNC:18654]	MICROCEPHALY SHORT STATURE AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES
RTTN	rotatin [Source:HGNC Symbol;Acc:HGNC:18654]	Bilateral diffuse polymicrogyria
RUFY1	RUN and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19760]	
RUFY2	RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761]	
RXFP3	relaxin/insulin like family peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:24883]	positive regulation of cytokinesis
S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	
S100A7	S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:HGNC:10497]	
SAFB2	scaffold attachment factor B2 [Source:HGNC Symbol;Acc:HGNC:21605]	
SALL3	spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527]	
SAMD1	sterile alpha motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17958]	
SAMD13	sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]	
SASH1	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]	Familial generalized lentiginosis
SASH1	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]	Pigmentation defects-palmoplantar keratoderma-skin carcinoma syndrome
SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	
SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	LATHOSTEROLOSIS
SCAF8	SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959]	
SCFD2	sec1 family domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30676]	
SCLT1	sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406]	
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	Channelopathy-associated congenital insensitivity to pain
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	Familial episodic pain syndrome with predominantly lower limb involvement
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	Hereditary sensory and autonomic neuropathy type 7
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	PAROXYSMAL EXTREME PAIN DISORDER
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	Primary erythermalgia
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	Sodium channelopathy-related small fiber neuropathy
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	Episodic pain syndrome familial 3
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	NEUROPATHY HEREDITARY SENSORY AND AUTONOMIC TYPE VII
SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	congenital inability to experience pain
SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	Benign Familial Infantile Epilepsy and Infantile Convulsions with Choreoathetosis Syndrome
SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	Infantile convulsions and choreoathetosis
SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	Undetermined early-onset epileptic encephalopathy
SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	Cognitive impairment with or without cerebellar ataxia
SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	Epileptic encephalopathy early infantile 13
SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	voltage-gated sodium channel activity
SCO2	SCO2, cytochrome c oxidase assembly protein [Source:HGNC Symbol;Acc:HGNC:10604]	Fatal infantile cytochrome C oxidase deficiency
SCO2	SCO2, cytochrome c oxidase assembly protein [Source:HGNC Symbol;Acc:HGNC:10604]	Leigh syndrome with cardiomyopathy
SCO2	SCO2, cytochrome c oxidase assembly protein [Source:HGNC Symbol;Acc:HGNC:10604]	Rare isolated myopia
SCO2	SCO2, cytochrome c oxidase assembly protein [Source:HGNC Symbol;Acc:HGNC:10604]	CARDIOENCEPHALOMYOPATHY FATAL INFANTILE DUE TO CYTOCHROME c OXIDASEDEFICIENCY 1
SCO2	SCO2, cytochrome c oxidase assembly protein [Source:HGNC Symbol;Acc:HGNC:10604]	Myopia 6
SCO2	SCO2, cytochrome c oxidase assembly protein [Source:HGNC Symbol;Acc:HGNC:10604]	Fatal Infantile Cardioencephalomyopathy due to Cytochrome c Oxidase Deficiency
SCRN3	secernin 3 [Source:HGNC Symbol;Acc:HGNC:30382]	
SCT	secretin [Source:HGNC Symbol;Acc:HGNC:10607]	
SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	
